chr	start.index	end.index	start.rsID	end.rsID	start.bp	end.bp
8	1	3	rs143233250	rs138143518	11774	11880
8	5	8	rs374156690	rs10481355	31036	31260
8	11	12	rs534290945	rs554455689	33141	33142
8	14	15	rs559447083	rs528166635	45134	45135
8	16	17	rs201403914	rs144573594	45482	45484
8	19	20	rs146519862	rs201041746	45685	45687
8	27	29	rs376861954	rs374738600	53230	53331
8	30	31	rs374326897	rs367917568	66751	66752
8	33	38	rs62485438	rs62485446	127184	151755
8	40	275	rs4046287	rs4045955	154878	219615
8	281	282	rs13263150	rs3008298	220118	220387
8	283	351	rs62488072	rs17272997	220412	234409
8	352	356	rs7824330	rs1125993	234734	235301
8	357	358	rs6558572	rs6558573	235700	235733
8	359	377	rs6558574	rs741554	236044	238648
8	378	385	rs7388287	rs7843179	238882	239671
8	386	420	rs56343205	rs150050371	240563	245766
8	422	426	rs199555712	rs111754510	246027	246593
8	427	428	rs61542569	rs59805239	246868	246886
8	430	431	rs55914939	rs12541287	247833	247841
8	432	433	rs59659068	rs11985744	248247	248265
8	436	437	rs60498196	rs56153392	249130	249131
8	443	491	rs12548502	rs7003768	250330	265978
8	492	496	rs113806267	rs17080309	266140	266953
8	497	501	rs6558632	rs7832760	267939	269445
8	502	504	rs7832779	rs7846271	269490	269509
8	505	506	rs73173352	rs11990487	269515	270121
8	508	512	rs6558649	rs11136543	271261	272339
8	514	520	rs7008623	rs552624642	273258	274085
8	523	525	rs7813149	rs7843485	274681	274782
8	526	527	rs7836796	rs7812564	274802	274904
8	528	529	rs76480243	rs2544243	275283	275457
8	530	548	rs12549771	rs60321665	275882	280186
8	549	565	rs7388619	rs10488370	280241	281424
8	568	569	rs918323	rs60730153	282497	282662
8	570	703	rs62484735	rs189378344	282851	311752
8	706	765	rs7826128	rs144179040	313173	328251
8	766	767	rs4415284	rs4487734	329000	329068
8	769	776	rs55815624	rs76988816	329595	333313
8	778	1217	rs1979081	rs7004945	334288	437603
8	1218	1502	rs79190912	rs2664000	437785	512983
8	1503	1505	rs6984685	rs75661751	513226	515510
8	1508	1509	rs148858815	rs28671386	516990	517149
8	1510	2293	rs78280393	rs189901554	517151	685707
8	2294	2297	rs13268786	rs13269162	686406	686580
8	2298	2305	rs141356800	rs4735818	687747	692479
8	2306	2309	rs6559170	rs6559172	692820	693060
8	2310	2311	rs12541119	rs10090579	693312	694103
8	2312	2313	rs56896874	rs57973891	694166	694697
8	2314	2318	rs34363368	rs7007719	694851	696114
8	2319	2329	rs73523296	rs10112777	697018	702507
8	2330	2336	rs10101865	rs28524105	702519	704490
8	2337	2341	rs35412259	rs13274882	705017	707950
8	2348	2352	rs74716135	rs78272413	710040	710889
8	2353	2354	rs78833994	rs10100355	711727	712049
8	2355	2363	rs74325521	rs10104969	712743	716185
8	2364	2849	rs55664508	rs17740001	716867	855557
8	2850	2859	rs62486401	rs12676790	855588	858049
8	2861	2863	rs17065457	rs17065459	859851	860464
8	2864	2865	rs13257920	rs4735828	860907	862188
8	2867	2872	rs4735955	rs11779673	862900	865884
8	2873	2878	rs17740145	rs55847229	866207	867233
8	2879	2887	rs113509444	rs76222223	867836	870091
8	2888	2889	rs1502995	rs11137111	870139	870224
8	2890	2895	rs4735958	rs4735829	870403	873029
8	2897	2898	rs4735960	rs74550761	873537	873675
8	2899	2904	rs28476639	rs11783323	873800	874949
8	2905	2907	rs80256025	rs17752590	875565	877112
8	2908	2909	rs7822510	rs28565321	877433	878715
8	2911	2912	rs6984680	rs7000101	880055	880313
8	2913	2914	rs905422	rs905421	883162	883224
8	2915	2916	rs11773938	rs2016310	883578	884423
8	2917	2921	rs80057272	rs11777063	884744	887909
8	2922	2923	rs56199868	rs55647120	888788	888822
8	2924	2933	rs35759294	rs11778691	889779	894965
8	2934	2951	rs4735830	rs883780	895841	898775
8	2953	2967	rs883779	rs17667625	898845	904179
8	2968	2976	rs7817168	rs2701916	904899	907603
8	2977	2981	rs2701917	rs12678114	908582	911644
8	2982	2983	rs2701918	rs10097918	913042	914102
8	2984	2985	rs1553410	rs1553409	914780	914818
8	2986	2993	rs2654019	rs4735834	915432	918726
8	2995	2996	rs1553413	rs11783823	918913	919722
8	2997	2998	rs7010422	rs11783689	920440	920601
8	3001	3061	rs4735835	rs13281687	921787	937565
8	3063	3064	rs75074960	rs77316601	939076	939404
8	3065	3066	rs11784100	rs11784101	939604	939606
8	3073	3157	rs11775900	rs73176535	944056	971916
8	3160	3169	rs62488482	rs4377983	974049	975682
8	3171	3172	rs7832535	rs9693701	977316	978004
8	3173	3182	rs75904052	rs35604780	979414	983664
8	3183	3185	rs2701939	rs13259811	983868	983926
8	3188	3241	rs62488493	rs2701903	986232	1004029
8	3242	3269	rs17740640	rs6559207	1005427	1018116
8	3270	3288	rs4735980	rs1078321	1018332	1022377
8	3289	3290	rs935821	rs10090803	1022455	1022799
8	3291	3294	rs9314422	rs12679046	1024476	1026110
8	3295	3326	rs75440569	rs12547181	1026197	1035601
8	3331	3351	rs73180697	rs2123057	1037929	1040943
8	3352	3367	rs56225188	rs73182604	1041030	1043888
8	3368	3484	rs73524633	rs80280238	1043966	1077421
8	3489	3490	rs75910037	rs80279207	1080102	1080104
8	3492	3969	rs182547602	rs7814626	1080832	1151109
8	3973	3974	rs7011631	rs370991649	1151850	1151851
8	3976	3977	rs10106705	rs10093019	1151953	1151954
8	3978	4077	rs111072063	rs7841475	1152133	1162157
8	4081	4082	rs4735996	rs4735997	1163245	1163713
