chr	start.index	end.index	start.rsID	end.rsID	start.bp	end.bp
16	1	8	rs76368850	rs558303720	60291	63189
16	10	15	rs534550949	rs62031363	66492	67254
16	17	23	rs560777354;rs80001234	rs2562132	79609	84170
16	25	26	rs199873089	rs117693148	87065	88688
16	27	28	rs4145232	rs11866537	89279	90538
16	29	202	rs1088640	rs2541610	91309	177002
16	205	222	rs2562191	rs2562185	178543	192314
16	226	298	rs116995933	rs2858935	194900	215855
16	301	512	rs2541675	rs9806942	218735	320759
16	513	515	rs59594847	rs9940585	321103	322934
16	519	528	rs2685126	rs3809654	324052	326525
16	531	632	rs2857999	rs62032886	327015	369139
16	633	636	rs8064205	rs3848362	369413	370336
16	639	657	rs3916990	rs12597122	372597	377644
16	659	836	rs60769452	rs763148	379379	433552
16	841	854	rs112202340	rs34626626	435505	438352
16	855	931	rs77511407	rs407983	438607	450759
16	932	937	rs3826236	rs3743889	451026	451719
16	938	1024	rs143501415	rs11645697	454819	495662
16	1026	1183	rs12919379	rs76870477	499531	552344
16	1184	1231	rs117166138	rs117748354	554703	592317
16	1232	1235	rs9929716	rs8052113	592758	596605
16	1248	1256	rs11539618	rs8058486	603884	606326
16	1257	1258	rs2384979	rs4984889	606897	606913
16	1260	1261	rs13331529	rs879119	607424	607579
16	1262	1268	rs7203312	rs12598643	608264	611635
16	1269	1492	rs4984890	rs7205124	612698	750107
16	1493	1512	rs35692463	rs9745431	750762	763371
16	1513	1533	rs3809663	rs11540049	764040	771286
16	1534	1565	rs3752555	rs11648796	771750	792190
16	1567	1569	rs13329772	rs8062406	794562	795142
16	1571	1579	rs116024853	rs4984691	796173	797321
16	1580	1596	rs55972806	rs7404985	797522	801627
16	1598	1601	rs28696220	rs9931515	801922	803218
16	1602	1603	rs9931606	rs67460974	803310	803324
16	1605	1784	rs67623411	rs117936731	804723	852179
16	1785	1788	rs4984932	rs760870	853169	854246
16	1789	1803	rs1078903	rs59540665	854689	857697
16	1804	1806	rs72759417	rs9328928	858094	858723
16	1810	1860	rs115964028	rs12149201	860560	869672
16	1861	1872	rs76868955	rs2003683	870256	871449
16	1873	1887	rs2003684	rs28583282	871498	873312
16	1890	1952	rs495093	rs683352	873561	881081
16	1954	2011	rs77656646	rs2968434	882062	897305
16	2017	2065	rs4984944	rs77956758	898469	925993
16	2067	2111	rs4984701	rs7191713	926273	938014
16	2116	2178	rs7185168	rs8044879	939456	948086
16	2182	2546	rs11859028	rs12924218	949766	1037035
16	2549	2563	rs76026555	rs111067651	1038568	1043832
16	2565	2572	rs594403	rs2745134	1046070	1047430
16	2574	2575	rs4984626	rs4984627	1047729	1047780
16	2577	2581	rs11647726	rs4984745	1048568	1049075
16	2582	2765	rs74001116	rs7204950	1049085	1106064
16	2771	2825	rs2059235	rs579797	1108975	1121434
16	2826	2842	rs57017816	rs2117752	1122170	1125099
16	2844	2845	rs633566	rs505496	1125200	1125386
16	2847	2854	rs72775409	rs645913	1125548	1127861
16	2858	2866	rs12599155	rs174643	1131181	1133049
16	2868	2870	rs17135167	rs197058	1135009	1139734
16	2874	2876	rs7187586	rs2076422	1146109	1146228
16	2880	2883	rs197069	rs197071	1147065	1149064
16	2884	2886	rs197072	rs197075	1149637	1151323
16	2888	2911	rs197076	rs2729582	1151901	1162013
16	2915	2920	rs2729580	rs111642025	1168226	1173451
16	2921	2929	rs8049610	rs55908729	1174671	1175922
16	2933	2945	rs73495859	rs11644314	1177601	1182129
16	2947	2953	rs7190361	rs11865472	1183677	1184967
16	2954	2990	rs1983598	rs112034409	1186297	1204116
16	2991	3013	rs1609697	rs62012320	1208869	1237181
16	3016	3063	rs11248859	rs11646893	1241997	1256085
16	3064	3065	rs2745155	rs2738896	1257634	1257940
16	3066	3067	rs12051002	rs8049748	1259727	1259746
16	3068	3260	rs2738897	rs35116045	1260767	1307404
16	3261	3262	rs2242600	rs4984785	1307676	1308909
16	3265	3326	rs1983597	rs12719790	1310206	1328598
16	3328	3335	rs12446440	rs4984800	1330216	1338307
16	3336	3337	rs4984643	rs4984801	1339755	1339927
16	3338	3386	rs4984802	rs114871548	1340465	1372660
16	3387	3397	rs11648215	rs8048759	1373015	1378788
16	3398	3407	rs12149281	rs80026191	1379020	1382459
16	3408	3430	rs7185635	rs742460	1383327	1405537
16	3432	3434	rs8053760	rs62011305	1409080	1411126
16	3435	3439	rs57890635	rs58261732	1411129	1414675
16	3440	3446	rs75956141	rs55659412	1416355	1436510
16	3448	3457	rs56361595	rs113208122	1446397	1468963
16	3458	3464	rs4984832	rs4984838;rs543381749	1473246	1482007
16	3466	3467	rs7201383	rs7201572	1482362	1482473
16	3468	3539	rs11639909	rs9926293	1483508	1506774
16	3541	3542	rs8061743	rs8060503	1507842	1507843
16	3546	3581	rs77855142	rs2745006	1509313	1520236
16	3583	3593	rs2745007	rs2982428	1521556	1522574
16	3594	3596	rs1040497	rs2745113	1522670	1522872
16	3597	3652	rs13331559	rs35064326	1523412	1533554
16	3654	3657	rs111680450	rs2667671	1534539	1536323
16	3658	3697	rs28444604	rs2667661	1536372	1544302
16	3701	4511	rs59012244	rs7190601	1546411	1850944
16	4512	5392	rs2247930	rs344364	1850952	1973516
16	5394	5418	rs56404919	rs2906908	1973807	1978917
16	5421	5422	rs2983906	rs337291	1979598	1979600
16	5424	5426	rs758192	rs758193	1979855	1979995
16	5427	5468	rs911395	rs79075024	1980027	1997385
16	5471	5475	rs2754181	rs2531335	1998020	1998039
16	5477	5484	rs56403493	rs2023427	1998463	2002724
16	5487	5594	rs12931846	rs72633263	2005618	2065862
16	5595	5608	rs72633264	rs1610054	2066659	2073330
16	5609	5615	rs3785284	rs2238373	2074036	2081503
16	5621	5633	rs3760042	rs13334473	2099232	2121001
16	5635	5648	rs45478794	rs4787158	2144182	2166672
16	5649	5651	rs4786236	rs36234	2187195	2201270
16	5655	5657	rs575658313	rs564678381	2223864	2223872
16	5659	5662	rs889495	rs26832	2233565	2238337
16	5663	5759	rs27381	rs2071640	2239402	2293296
16	5762	5763	rs8046268	rs8050222	2300867	2301100
16	5764	5765	rs35856	rs150932	2301843	2302617
16	5766	5796	rs7299	rs4787273	2303353	2349760
16	5797	5825	rs323038	rs9930249	2351181	2368420
16	5827	5836	rs118055416	rs61204087	2386424	2418179
16	5838	6005	rs60522980	rs62040715	2427471	2515244
16	6008	6018	rs113480613	rs12923317	2544361	2593791
16	6020	6021	rs1005273	rs28468593	2645965	2661497
16	6023	6119	rs117798093	rs11645410	2691504	2737071
16	6122	6149	rs12926029	rs3094470	2739715	2754260
16	6150	6151	rs143365373	rs76878190	2755351	2767015
16	6153	6154	rs117274404	rs111666458	2775793	2779030
16	6155	6190	rs3094481	rs2240140	2779236	2812939
16	6191	6217	rs3094775	rs73474767	2814162	2826598
16	6218	6236	rs9925824	rs4785904	2827973	2838501
16	6238	6397	rs117915701	rs8054377	2844368	2889404
16	6402	6405	rs12596044	rs3810801	2891418	2892370
16	6406	6451	rs8060332	rs111376895	2892770	2913143
16	6452	6624	rs4786339	rs67917512	2914016	2969219
16	6626	6627	rs1468214	rs1966334	2970501	2970683
16	6629	6643	rs7200565	rs34615149	2971292	2975759
16	6645	6782	rs9923331	rs79352841	2977198	3009802
16	6783	6784	rs12927970	rs4786360	3010128	3010367
16	6785	6807	rs4786361	rs4149782	3010445	3027296
16	6808	6818	rs574227889	rs2717692	3028748	3048391
16	6819	6971	rs984539	rs59485676	3049424	3114628
16	6974	6976	rs11860424	rs11861531	3116170	3116325
16	6984	7374	rs2239303	rs2238402	3117937	3280157
16	7376	7417	rs2075852	rs224210	3282605	3298074
16	7418	7428	rs4786398	rs2238406	3298243	3301296
16	7429	7462	rs224216	rs78769277	3301621	3332814
16	7464	7466	rs220381	rs1149484	3344618	3355264
16	7467	7479	rs1149483	rs11861548	3356834	3376824
16	7484	7520	rs37846	rs1231098	3378450	3387609
16	7522	7822	rs11644228	rs3848358	3388386	3499158
16	7823	7944	rs37833	rs8052562	3500040	3541830
16	7945	8240	rs75072041	rs138060110	3543734	3686588
16	8242	8243	rs11076782	rs740862	3688440	3689678
16	8245	8247	rs8045058	rs2379220	3691655	3694299
16	8248	8249	rs735830	rs3751841	3695354	3699822
16	8251	8275	rs3810815	rs2074800	3702003	3725682
16	8278	8322	rs7197794	rs4260060	3728584	3755368
16	8323	8328	rs7201881	rs12596445	3756721	3759178
16	8330	8337	rs6500552	rs38025	3759393	3763734
16	8342	8350	rs12597690	rs3751845	3770322	3778337
16	8354	8480	rs11076784	rs35671987	3782853	3949053
16	8481	8508	rs571151702	rs73503977	3949929	3960300
16	8511	8513	rs146039400	rs11076789	3961594	3961915
16	8514	8683	rs12600023	rs185645566	3962121	3994593
16	8684	8685	rs17256183	rs7199418	3994696	3994927
16	8686	8696	rs7201418	rs714485	3995231	3998415
16	8702	8703	rs8057582	rs9929715	4000222	4000765
16	8704	8725	rs2531998	rs2531997	4001277	4006609
16	8727	8772	rs2601788	rs7185966	4007086	4022703
16	8773	8776	rs9935335	rs2238436	4023028	4025385
16	8777	8802	rs2238437	rs2531983	4026238	4033012
16	8803	8804	rs2531982	rs2230739	4033097	4033436
16	8807	8865	rs2531980	rs4785947	4033987	4045499
16	8866	8957	rs2531975	rs7196832	4046952	4076752
16	8963	8971	rs2601815	rs77719028	4078513	4091808
16	8972	9286	rs34342028	rs9934550	4092145	4194317
16	9287	9288	rs7196914	rs7195468	4194688	4194985
16	9290	9437	rs233182	rs879151	4196798	4250915
16	9438	9440	rs2009917	rs13339613	4251853	4253117
16	9443	9471	rs4644864	rs1104967	4254479	4258312
16	9472	9506	rs889806	rs9935551	4258395	4273604
16	9509	9510	rs1291715	rs1291716	4275178	4275214
16	9511	9512	rs1291717	rs1991067	4276056	4276344
16	9513	9522	rs111863591	rs4786476	4277445	4279045
16	9525	9531	rs11863444	rs9929820	4281389	4284117
16	9533	9541	rs736836	rs72764702	4285078	4295553
16	9545	9697	rs79750661	rs77187236	4296033	4367662
16	9699	9745	rs35108574	rs7191812	4370706	4408941
16	9746	9752	rs740375	rs3747576	4412868	4415455
16	9753	10136	rs3747577	rs841171	4415696	4689319
16	10142	10335	rs1684619	rs4786547	4708523	4814893
16	10339	10668	rs58729822	rs79360010	4816102	4985044
16	10669	10673	rs759201	rs72633280	4985296	4986723
16	10675	10702	rs2908660	rs2908654	4989215	4999392
16	10703	10705	rs62038618	rs9635549	4999485	4999536
16	10706	10885	rs8057273	rs2908646	4999713	5031844
16	10886	10931	rs11640880	rs8049809	5032298	5050221
16	10932	10945	rs2286966	rs3743842	5050897	5058791
16	10946	10969	rs7188243	rs2012649	5059662	5064917
16	10971	10973	rs4786579	rs2270259	5068029	5068411
16	10975	10979	rs2270257	rs2972285	5068586	5069629
16	10980	10983	rs12599259	rs2972288	5069690	5069960
16	10987	10991	rs2908668	rs7110	5073773	5074952
16	10992	11052	rs1045693	rs7203046	5075226	5107160
16	11054	11063	rs17137555	rs741163	5107990	5113621
16	11065	11066	rs79498174	rs78077473	5115055	5115079
16	11067	11068	rs9924614	rs4785984	5115228	5116466
16	11069	11070	rs9932909	rs56265205	5117847	5118575
16	11071	11142	rs113726980	rs35424527	5118701	5141378
16	11147	11148	rs55806809	rs7201833	5142217	5143126
16	11151	11358	rs147567393	rs4786624	5143603	5176421
16	11360	11362	rs76046667	rs74405861	5176947	5176998
16	11365	11440	rs9926190	rs62035874	5179150	5188731
16	11441	11442	rs4786002	rs9940254	5188821	5189032
