chr	start.index	end.index	start.rsID	end.rsID	start.bp	end.bp
11	2	304	rs370363256	rs56819791	102905	247905
11	306	315	rs3020900	rs7129263	247972	248077
11	316	317	rs559422	rs498217	248181	249097
11	319	423	rs11601356	rs77447196	249131	280464
11	425	427	rs7482965	rs9737451	280816	282466
11	437	442	rs12796930	rs11246052	285038	286134
11	444	445	rs9737419	rs7116383	286621	287070
11	446	503	rs12806158	rs72636981	287407	300605
11	506	570	rs113205007	rs7942247	302120	316349
11	574	639	rs3835195	rs10160661	320115	334703
11	640	642	rs10160565	rs73398544	335017	335795
11	645	670	rs9328560	rs12805574	336192	341934
11	671	672	rs6598036	rs9794874	342860	343007
11	673	677	rs11246083	rs11246087	343420	343575
11	678	679	rs12270728	rs67437716	343739	343776
11	680	682	rs141283716	rs147894139	343859	343865
11	683	695	rs12270786	rs7119903	343881	347579
11	696	698	rs12281495	rs144388838	348460	349653
11	699	701	rs73398562	rs200045480	350275	350280
11	702	704	rs10794314	rs11246108	350567	350917
11	705	718	rs7479261	rs10751655	351765	352963
11	720	721	rs7395930	rs7395929	353221	353222
11	723	811	rs7395907	rs60300618	353394	365850
11	812	813	rs6421981	rs6421980	365862	365867
11	814	816	rs6421979	rs7396000	365894	365918
11	818	822	rs7480433	rs10902141	367049	367818
11	825	862	rs76560824	rs7935145	370252	382480
11	863	944	rs11819881	rs9795299	382912	397732
11	948	950	rs529347827	rs559844705	401834	402000
11	954	976	rs76360685	rs4074794	403046	409815
11	977	979	rs7131456	rs7396263	410462	412867
11	980	983	rs7948644	rs10902161	413324	413752
11	984	991	rs111610435	rs12418575	414416	419994
11	992	1455	rs72848733	rs79820513	420011	558165
11	1456	1457	rs2061586	rs3943356	558884	559016
11	1458	1460	rs35632051	rs28650290	559089	559964
11	1461	1478	rs113263596	rs7935060	560448	565410
11	1479	1685	rs1975883	rs936460	565454	636199
11	1689	1697	rs11246224	rs752306	636592	637622
11	1700	1729	rs7124601	rs11246234	639273	645336
11	1730	1733	rs28535720	rs7116680	645569	646980
11	1734	1904	rs7116535	rs11246269	647145	698626
11	1906	1923	rs7480436	rs7108216	699852	702097
11	1925	1935	rs7107522	rs11246278	703175	706510
11	1936	1941	rs76431003	rs10902202	707025	709401
11	1942	1955	rs11605783	rs113249763	709680	712611
11	1958	1975	rs7928294	rs3087546	715036	720197
11	1977	2178	rs74916186	rs76923087	721877	818339
11	2179	2182	rs7928917	rs7942159	819464	822622
11	2183	2187	rs58771985	rs1138694	823207	824805
11	2188	2189	rs1138714	rs4963120	825110	825777
11	2195	2282	rs28507876	rs185715631	828784	849862
11	2286	2386	rs7946756	rs12791920	851623	910259
11	2388	2390	rs7107987	rs10902230	915748	918219
11	2391	2774	rs10794340	rs12574439	918339	1057948
11	2776	2826	rs7129482	rs72842451	1060165	1069775
11	2829	2831	rs2856117	rs2856082	1071067	1071562
11	2832	2970	rs34151899	rs35911093	1071816	1094868
11	2972	3026	rs11245951	rs7952154	1096700	1109183
11	3027	3188	rs56986497	rs28469016	1109671	1151320
11	3189	3235	rs17859812	rs28972401	1151406	1162517
11	3238	3300	rs77998608	rs34425120	1213804	1226592
11	3303	3304	rs28742153	rs28532970	1227846	1227939
11	3305	3321	rs28678421	rs35705950	1229005	1241221
11	3323	3326	rs2735726	rs12804004	1241848	1242299
11	3331	3332	rs7115457	rs7118568	1244060	1244080
11	3333	3479	rs56235854	rs3793969	1244197	1318884
11	3483	3778	rs5743922	rs7931497	1320672	1414025
11	3779	3781	rs4881748	rs71469892	1414580	1416119
11	3783	3784	rs4046759	rs2334655	1417411	1417415
11	3785	3980	rs12808343	rs36010694	1418450	1470324
11	3981	3982	rs11028332	rs73409602	1471154	1471221
11	3988	3990	rs73411405	rs60745286	1473052	1473417
11	3991	4605	rs34805614	rs138562325	1473882	1651595
11	4612	4844	rs11037265	rs112701776	1652383	1680587
11	4845	4882	rs1964600	rs61867635	1680664	1684624
11	4883	4885	rs201625645	rs527855971	1685642	1685645
11	4886	4900	rs117873926	rs34295474	1686721	1689409
11	4901	4917	rs34011530	rs4752777	1689461	1690984
11	4922	4923	rs61867642	rs78490151	1691766	1691767
11	4932	4934	rs200920973	rs61868977	1691956	1692498
11	4935	5012	rs12806189	rs16927507	1693007	1716749
11	5014	5016	rs55983813	rs57066048	1718034	1718463
11	5019	5121	rs4752747	rs10839545	1720290	1744093
11	5123	5126	rs76884761	rs77357252	1744439	1744645
11	5129	5131	rs78086642	rs74573533	1745845	1746261
11	5132	5251	rs56048500	rs59942406	1747572	1800857
11	5252	5311	rs75303647	rs10839714	1801319	1822481
11	5313	5318	rs2334408	rs4752761	1823725	1824607
11	5319	5320	rs11041180	rs11602772	1825231	1825567
11	5321	5403	rs2334407	rs7942044	1826391	1854087
11	5404	5405	rs61867130	rs61867131	1854093	1854356
11	5406	5407	rs498337	rs2063551	1854571	1855854
11	5409	5423	rs907605	rs61867133	1857042	1860304
11	5425	5433	rs1877444	rs504419	1861225	1864645
11	5437	5438	rs7924468	rs4980380	1866372	1866489
11	5443	5449	rs4980398	rs75162882	1870211	1870786
11	5451	5574	rs596298	rs620330	1871813	1902485
11	5578	5605	rs73410970	rs28971510	1903426	1914975
11	5606	5618	rs72846724	rs7115847	1915558	1928217
11	5620	5621	rs7112332	rs11826703	1934530	1934532
11	5622	5625	rs112717595	rs112121578	1936085	1937116
11	5626	5631	rs115129911	rs73413011	1937981	1941481
11	5632	5657	rs909115	rs76909371	1941858	1948325
11	5658	5683	rs73413025	rs2734495	1948702	1958996
11	5684	5686	rs4727	rs78770357	1959707	1960186
11	5688	5808	rs11041941	rs1623506	1961869	2011709
11	5810	5814	rs1635153	rs217227	2013073	2014227
11	5815	5817	rs2285935	rs217229	2014646	2015252
11	5818	5881	rs217230	rs3858516	2015507	2030298
11	5882	5885	rs7950787	rs193150780	2032244	2035902
11	5886	5888	rs117953329	rs4384367	2036011	2037163
11	5889	5895	rs3858519	rs7124169	2037821	2040997
11	5900	5912	rs4930001	rs12282459	2043867	2047640
11	5913	5914	rs12803714	rs7924887	2047879	2047956
11	5920	5981	rs11564734	rs7941813	2049945	2070926
11	5982	5983	rs11042424	rs11042425	2070993	2070994
11	5984	6090	rs74050056	rs76223293	2072097	2111386
11	6091	6093	rs7932822	rs7932949	2111406	2111531
11	6094	6231	rs4930038	rs17883577	2113931	2169773
11	6232	6236	rs3741208	rs1004446	2169774	2170143
11	6237	6239	rs4320932	rs7948458	2171601	2172830
11	6241	6265	rs10840447	rs3842727	2176042	2184848
11	6266	6274	rs2070762	rs4930043	2186335	2189983
