chr	start.index	end.index	start.rsID	end.rsID	start.bp	end.bp
6	1	2	rs561313667	rs530120680	63979	63980
6	3	17	rs141507289	rs115357777	147596	169141
6	19	21	rs17132995	rs142064167	177050	177899
6	22	23	rs545096645	rs75144353	177945	180959
6	24	26	rs114086151	rs76015505	188969	192157
6	27	31	rs9392298	rs2066406	203878	205213
6	33	34	rs1418707	rs1418706	205800	205878
6	37	48	rs12212152	rs17133789	205988	209462
6	51	71	rs71548189	rs11970426	210832	215423
6	75	79	rs67073775	rs73356194	217820	218937
6	80	141	rs6596838	rs981596	219474	230572
6	144	146	rs12198643	rs113727148	231101	231133
6	147	210	rs9405515	rs12193055	231146	243955
6	211	212	rs9503040	rs9503041	244580	244587
6	213	288	rs6912183	rs12214953	244951	277101
6	289	315	rs815570	rs115213527	278684	288780
6	317	320	rs75908072	rs74359361	290438	291373
6	328	405	rs2797315	rs4959775	294783	362006
6	406	412	rs1467153	rs58327586	362179	364476
6	413	414	rs9942492	rs2666962	365600	365607
6	416	441	rs7776416	rs3866815	367243	379031
6	446	465	rs2797298	rs2797304	380513	386636
6	466	482	rs74758148	rs2797308	386933	394711
6	483	495	rs3823305	rs78073965	396121	401070
6	496	497	rs1877179	rs3778607	403604	403799
6	498	542	rs2001508	rs9378374	404632	422408
6	543	544	rs190037624	rs181294516	424736	424740
6	545	664	rs9502061	rs908028	424802	451893
6	665	709	rs4339511	rs34210189	451895	465707
6	715	725	rs4275100	rs13205238	467414	468597
6	726	730	rs113173484	rs4959924	469692	470611
6	738	765	rs13219910	rs11242912	471619	479926
6	767	773	rs9504016	rs12207950	480107	482377
6	776	791	rs79127913	rs4642520	483320	495226
6	793	800	rs73380946	rs1473909	496193	500956
6	803	884	rs12206548	rs2982492	506231	545201
6	886	896	rs2473490	rs2277096	549364	564515
6	897	898	rs9502274	rs9502275	566060	566061
6	899	930	rs17134857	rs9504361	566509	577820
6	931	955	rs72835945	rs9504379	580011	587736
6	956	1327	rs1150830	rs74195719	588336	695026
6	1331	1401	rs12525381	rs2297833	696327	710763
6	1408	1456	rs73385419	rs60590496	713322	726602
6	1458	1474	rs9504916	rs7752705	728997	734242
6	1475	1488	rs112611540	rs113138656	736150	736410
6	1489	1494	rs141520752	rs113031970	736490	736562
6	1495	1532	rs11751025	rs2788197	737039	756884
6	1533	1536	rs9505014	rs2252611	758665	760410
6	1537	1538	rs2788198	rs2804760	760946	760956
6	1544	1596	rs2804763	rs79975110	763591	786509
6	1597	1602	rs7772429	rs7739041	786537	786646
6	1603	1606	rs9502603	rs4960299	786699	787110
6	1607	1608	rs9392145	rs9379090	787251	787255
6	1609	1629	rs9328416	rs9505193	787587	793060
6	1630	1712	rs9328421	rs4368851	793764	824413
6	1714	1715	rs6914320	rs6914526	826312	826440
6	1719	1762	rs9392920	rs4959461	827799	839305
6	1763	1764	rs75635774	rs7770224	840472	840475
6	1765	1955	rs9505291	rs115922030	840553	885579
6	1956	1957	rs12192637	rs12173908	885797	885937
6	1958	1962	rs10458223	rs9505426	886508	886884
6	1963	1983	rs58074380	rs115074082	887166	889586
6	1986	1987	rs4563767	rs143548716	889901	889947
6	1988	1989	rs113330361	rs4513850	889966	890000
6	1993	2027	rs9393002	rs4960406	890387	895846
6	2028	2178	rs9406134	rs9505530	896260	928117
6	2180	2278	rs2317449	rs2756291	928654	966771
6	2281	2392	rs2784955	rs1764145	968555	1002727
6	2395	2448	rs73390009	rs60349649	1004697	1015695
6	2450	2467	rs845891	rs707776	1016213	1022980
6	2469	2531	rs845879	rs926556	1023564	1036419
6	2533	2615	rs2317451	rs9502802	1038315	1055077
6	2617	2619	rs12192910	rs59062277	1055786	1055941
6	2620	2637	rs73716743	rs58449209	1056091	1058509
6	2638	2643	rs72836898	rs6597406	1058968	1059645
6	2644	2645	rs12202387	rs12209319	1060774	1060782
6	2646	2670	rs116279357	rs17759316	1060787	1077882
6	2673	2677	rs2073018	rs79970538	1078887	1080820
6	2679	2696	rs76762951	rs6911992	1081561	1092761
6	2698	2797	rs1008874	rs79590192	1095855	1130585
