chr	start.index	end.index	start.rsID	end.rsID	start.bp	end.bp
14	1	80	rs28973059	rs28475174	19000060	19095489
14	85	86	rs56906574	rs58039406	19110101	19110102
14	87	88	rs57655214	rs60361762	19110431	19110517
14	89	93	rs202226412	rs143653355	19111588	19112879
14	97	100	rs28578483	rs28891205	19118569	19125753
14	101	315	rs56133668	rs28618085	19125756	19382668
14	320	321	rs202053021	rs201342595	19398226	19402578
14	324	325	rs568972353	rs537624887	19412505	19412509
14	328	333	rs61971296	rs139960753	19418697	19421619
14	334	344	rs79164553	rs61971329	19422352	19429387
14	347	349	rs28710444	rs28583088	19431654	19431979
14	351	362	rs28658002	rs28706201	19432429	19437976
14	364	365	rs28537277	rs28671467	19438466	19438472
14	367	368	rs28450071	rs28532484	19440784	19440785
14	369	370	rs28498455	rs28420767	19441042	19441045
14	379	423	rs56403585	rs28361891	19452052	19470537
14	425	450	rs28535884	rs148533458	19471056	19484894
14	453	454	rs373679302	rs201936763	19487835	19487851
14	455	457	rs368892423	rs371280694	19488019	19488192
14	459	460	rs2818473	rs369468987	19488974	19491761
14	463	464	rs28687260	rs28701579	19496954	19496956
14	465	467	rs199828529	rs374310056	19522294	19532723
14	470	533	rs61970988	rs2713524	19537063	19620129
14	541	542	rs147413136	rs376228371	19669198	19669223
14	543	549	rs79828459	rs369957095	19669710	19677843
14	552	554	rs61970191	rs61970196	19706832	19707390
14	559	563	rs74196525	rs143943239	19751233	19776072
14	564	594	rs61969375	rs28584784	19776418	19818088
14	596	602	rs150012563	rs201974730	19820686	19824013
14	608	609	rs559646996	rs577556171	19851270	19851271
14	610	611	rs201693481	rs74609069	19852581	19852801
14	613	614	rs566126555	rs55700999	19855378	19855398
14	615	616	rs28590209	rs2465343	19859845	19859854
14	618	631	rs28897075	rs28636498	19860092	19878503
14	638	639	rs200310994	rs200363114	19912327	19927965
14	642	643	rs2495179	rs200269842	19931960	19932390
14	644	653	rs75866097	rs2495170	19933199	19962187
14	658	660	rs533067570	rs563184168	19988109	19988125
14	664	665	rs112882240	rs200652777	20004516	20006274
14	669	679	rs28412642	rs28663231	20020071	20038092
14	686	712	rs538840215	rs373132205	20074030	20101241
14	713	715	rs551209559	rs145022083	20102247	20102255
14	717	718	rs574364935	rs138847815	20116914	20116915
14	720	772	rs4981601	rs376313565	20134486	20149888
14	778	783	rs202008798	rs55921414	20169560	20173431
