chr	start.index	end.index	start.rsID	end.rsID	start.bp	end.bp
9	1	5	rs56377469	rs71509924	10469	14889
9	12	13	rs376864329	rs2492179	38985	39037
9	19	102	rs3877475	rs371473192	40997	93310
9	103	111	rs145650527	rs9299070	93432	97217
9	114	194	rs10816045	rs76488717	100982	130418
9	195	196	rs535167922	rs199818002	131338	131705
9	197	726	rs558980154	rs785847	132336	272325
9	730	732	rs1547693	rs785848	273729	273986
9	733	737	rs10757606	rs34127158	274108	274671
9	739	740	rs523812	rs523830	275043	275049
9	743	747	rs12343375	rs2094462	275542	275809
9	749	764	rs13287349	rs557363	275913	279239
9	765	766	rs655696	rs1591578	279408	279506
9	769	770	rs4741750	rs4741751	279826	279829
9	771	772	rs34173126	rs34859571	279970	280269
9	774	776	rs12343056	rs636828	280727	281263
9	777	778	rs73374570	rs58776181	281316	281523
9	779	785	rs17720878	rs13291664	281845	282738
9	786	811	rs10967888	rs7049010	283138	289348
9	814	823	rs7030730	rs785852	290670	293074
9	824	833	rs143471309	rs516542	293340	297393
9	834	894	rs687831	rs113579497	297394	308698
9	895	897	rs7862033	rs7024777	308863	310179
9	898	899	rs10813221	rs10969550	310545	310672
9	901	907	rs10969557	rs17721433	310970	311607
9	908	910	rs2039045	rs12339042	312124	312264
9	911	920	rs10813240	rs2296823	313305	314593
9	921	953	rs7028352	rs151176819	315185	322696
9	954	957	rs4740710	rs74739481	322760	324820
9	958	961	rs10970385	rs10813612	324877	325299
9	964	999	rs10970443	rs1536609	326050	332152
9	1009	1020	rs10813820	rs10971151	334524	338018
9	1021	1027	rs12340920	rs114579804	338906	342164
9	1028	1029	rs16932229	rs35504021	342394	342424
9	1031	1032	rs12342672	rs12344577	342469	342501
9	1033	1035	rs112071441	rs11791146	342526	343079
9	1036	1037	rs7042540	rs7032705	343859	343861
9	1045	1127	rs7873573	rs2026642	344690	356903
9	1128	1130	rs73641526	rs10972223	357098	357669
9	1132	1137	rs9298959	rs4741831	358040	359045
9	1138	1146	rs4741832	rs12335901	359203	360732
9	1147	1307	rs4741833	rs140134287	362209	398207
9	1308	1309	rs12346040	rs12346176	398309	398673
9	1314	1316	rs12348689	rs62531865	399997	400006
9	1318	1324	rs368569959	rs4740739	400974	401207
9	1325	1374	rs62531871	rs12352911	401382	418276
9	1376	1396	rs10758556	rs145392039	419153	425305
9	1398	1399	rs10974358	rs10974359	425394	425395
9	1402	1403	rs61690615	rs57671818	425461	425463
9	1406	1407	rs12353411	rs10974366	426215	426740
9	1408	1443	rs2297082	rs956919	428706	436707
9	1447	1534	rs2068735	rs12682895	438024	457305
9	1536	1541	rs10974576	rs68016896	458846	460002
9	1544	1564	rs10758627	rs7873357	460325	467629
9	1565	1601	rs112765020	rs12237514	467817	479385
9	1602	1657	rs10974743	rs10116973	479507	503957
9	1658	1659	rs10974881	rs12344733	504025	504298
9	1661	1722	rs148382099	rs62531463	504800	517446
9	1724	1726	rs1928416	rs12345892	517841	518103
9	1731	1732	rs1976260	rs7046561	520211	520337
9	1734	1735	rs7853150	rs12352274	523495	523553
9	1736	1748	rs4742065	rs9299008	524899	527798
9	1749	2551	rs12340442	rs75701211	528563	691917
9	2552	2573	rs2361112	rs10758807	692085	698141
9	2574	2578	rs16922717	rs10119922	698752	699806
9	2579	2653	rs7024449	rs12345961	701026	724011
9	2654	2889	rs10815530	rs4742354	724217	766881
9	2892	2931	rs4742356	rs7859781	767797	777835
9	2932	2963	rs7023525	rs10976567	778507	786527
9	2965	2967	rs7035993	rs6477236	786996	787082
9	2968	2969	rs150449053	rs12337000	787498	787499
9	2970	2971	rs4742388	rs4740908	788484	788495
9	2972	2973	rs10976579	rs4742390	788518	788730
9	2975	2980	rs4742391	rs4742395	788913	789433
9	2981	2982	rs60355026	rs10481614	789583	789850
9	2983	2984	rs7042888	rs74465990	789996	790141
9	2985	2997	rs1323269	rs4742399	790234	791425
9	2999	3045	rs4740910	rs10976639	791498	796092
9	3046	3056	rs13288762	rs191965655	797229	797798
9	3057	3060	rs370662144	rs577992952	797836	797849
9	3061	3066	rs11790582	rs113142995	798093	798426
9	3067	3082	rs72697141	rs10976660	798478	799960
9	3090	3095	rs10815717	rs7031713	801571	802325
9	3096	3138	rs36092492	rs34498320	802389	807310
9	3139	3144	rs7043658	rs11794578	807449	808529
9	3145	3148	rs7021644	rs7035551	809502	811618
9	3149	3150	rs199917373	rs4742423	811885	811972
9	3151	3154	rs6477253	rs7044477	813385	813904
9	3155	3162	rs7039253	rs67976661	814210	816287
9	3163	3172	rs4742429	rs7873843	816742	818361
9	3173	3176	rs12351430	rs10758935	818600	819793
9	3177	3178	rs10976776	rs10976777	820280	820442
9	3179	3181	rs10976789	rs4141756	821273	822594
9	3183	3185	rs10815772	rs13284671	824532	824742
9	3186	3187	rs4742445	rs7029891	825526	825543
9	3188	3189	rs77034822	rs10976818	825935	826427
9	3190	3192	rs4740925	rs4742449	826584	826656
9	3194	3249	rs2277163	rs3812523	827224	840247
9	3252	3253	rs942073	rs912062	840971	841152
9	3255	3256	rs3739584	rs3739583	841825	841971
9	3257	3261	rs13295838	rs4338164	843382	843763
9	3262	3264	rs7862426	rs1323271	844001	844487
9	3265	3275	rs4742480	rs2146531	844787	846134
9	3277	3327	rs16924784	rs7020479	846407	852507
9	3331	3361	rs6477308	rs7034335	853240	856658
9	3364	3370	rs7869068	rs7848811	857315	857883
9	3372	3373	rs7873478	rs13295058	858429	858735
9	3375	3380	rs10977161	rs10815893	858840	859409
9	3381	3390	rs11788433	rs1962757	859569	860158
9	3391	3392	rs1018570	rs1018569	860335	860349
9	3393	3394	rs1018568	rs1018567	860524	860584
9	3396	3425	rs7863616	rs7018713	861220	862381
9	3426	3427	rs7018717	rs7037070	862392	862407
9	3428	3429	rs10977185	rs7018843	862446	862482
9	3431	3436	rs10815910	rs755383	862803	863635
9	3439	3440	rs4740950	rs2012374	864399	864431
9	3443	3446	rs1962754	rs7040046	864702	864737
9	3449	3453	rs4740951	rs2370213	864834	865300
9	3455	3494	rs10977205	rs60085143	865746	871235
9	3497	3534	rs7022851	rs7875857	871862	877871
9	3535	3538	rs4740955	rs56050935	879145	880131
9	3539	3540	rs10733547	rs10739168	880777	880802
9	3543	3550	rs10977270	rs10815945	883226	887019
9	3552	3792	rs58346453	rs10816089	891751	940191
9	3793	3801	rs77711424	rs10977669	941071	943070
9	3804	3925	rs76470086	rs75785779	944428	989868
9	3929	3930	rs279877	rs77566462	991114	992360
9	3931	3978	rs172157	rs10816268	992694	1006535
9	3979	4004	rs12001494	rs10958864	1006606	1016001
9	4005	4118	rs61708067	rs111917096	1016071	1045318
9	4119	4140	rs192935234	rs3812516	1045325	1050623
9	4146	4167	rs6474550	rs9140	1052722	1057318
9	4168	4170	rs4741030	rs10809097	1057351	1057797
9	4173	4235	rs72703241	rs1509200	1059356	1077020
9	4239	4249	rs4497022	rs7024033	1080866	1083171
9	4250	4251	rs10959278	rs10809188	1084866	1084922
9	4254	4285	rs7037127	rs10959358	1089866	1099610
9	4291	4593	rs10809246	rs56209629	1102058	1175170
9	4597	4601	rs10960085	rs12237750	1176609	1176653
9	4603	4665	rs139875062	rs10960353	1178082	1197716
9	4666	4855	rs6474677	rs12683525	1198044	1242775
9	4856	4858	rs1337623	rs2375258	1243452	1243588
9	4859	4868	rs4741218	rs7041330	1243842	1245807
9	4872	4908	rs17782560	rs13296002	1252206	1269236
9	4909	4921	rs882092	rs10123526	1270676	1277906
9	4923	5079	rs5018125	rs7036883	1279567	1322893
9	5080	5104	rs4740541	rs10809917	1323164	1330054
9	5106	5203	rs10809918	rs6474776	1330623	1356772
9	5204	5208	rs74977575	rs650902	1357026	1358574
9	5211	5214	rs7874104	rs12684478	1359957	1360397
9	5215	5216	rs10961113	rs10961119	1362503	1363575
9	5217	5220	rs11999182	rs2375528	1365424	1367182
9	5221	5249	rs4614048	rs10961225	1367251	1385087
9	5251	5253	rs10961233	rs1571852	1386018	1386230
9	5263	5265	rs588864	rs2375529	1388781	1388983
9	5266	5368	rs148573734	rs10961438	1389048	1432160
9	5369	5376	rs62533086	rs7038429	1432909	1436235
9	5378	5379	rs72690605	rs72690606	1437800	1438035
9	5380	5436	rs78736289	rs1332001	1438525	1458269
9	5445	5550	rs10124818	rs10810253	1463618	1490830
9	5551	5564	rs74791484	rs2104866	1490954	1493712
9	5565	6180	rs10961754	rs191620534	1493906	1623499
9	6181	6187	rs702187	rs1537963	1624867	1625962
9	6188	6189	rs12237932	rs12685706	1626247	1626977
9	6190	6271	rs4387030	rs575521	1627292	1645774
9	6272	6273	rs10962401	rs72696526	1646031	1646267
9	6274	6275	rs702191	rs702192	1646570	1646654
9	6277	6287	rs702193	rs117714271	1650838	1655666
9	6288	6291	rs1590330	rs2476246	1657743	1658347
9	6292	6298	rs17796781	rs74509854	1659851	1661566
9	6299	6316	rs2485172	rs10511432	1661673	1666051
9	6318	6335	rs4740634	rs12376902	1666496	1669054
9	6336	6343	rs559647	rs1323231	1669146	1670782
9	6344	6349	rs7034471	rs1323233	1671336	1671917
9	6350	6370	rs4457385	rs4237142	1672013	1675428
9	6372	6377	rs10117866	rs4741576	1675932	1676825
9	6378	6379	rs2760394	rs2093648	1677119	1677474
9	6380	6382	rs945662	rs10962541	1677835	1678504
9	6383	6386	rs7038279	rs10124068	1679240	1679714
9	6389	6390	rs2785729	rs533226	1682262	1683160
9	6391	6392	rs35004290	rs535825	1683302	1683418
9	6393	6395	rs523006	rs652703	1683466	1683781
9	6396	6401	rs2760395	rs7868531	1684549	1685315
9	6402	6508	rs2760397	rs2485165	1685649	1706894
9	6511	6541	rs4741581	rs7859812	1707290	1710374
9	6542	6973	rs79307448	rs116913509	1710381	1786906
9	6974	6979	rs4740649	rs3858030	1787114	1788498
9	6980	7000	rs62537235	rs12336129	1789423	1793095
9	7001	7002	rs7862264	rs7852096	1793152	1793162
9	7009	7014	rs7857129	rs7047969	1795030	1796207
9	7015	7030	rs10963316	rs75089307	1797071	1801446
9	7031	7154	rs3889672	rs79864075	1801535	1828604
9	7155	7159	rs10810924	rs10283612	1828847	1830286
9	7160	7164	rs10963531	rs10963535	1832225	1833756
9	7166	7171	rs10810937	rs2094944	1835254	1835845
9	7172	7173	rs12337743	rs75525649	1837057	1837075
9	7174	7175	rs10124781	rs7869295	1838135	1838775
9	7176	7191	rs7869425	rs10963583	1838891	1843898
9	7194	7196	rs973496	rs7847373	1845038	1845946
9	7200	7259	rs7020165	rs10963717	1849530	1876496
9	7265	7270	rs4741617	rs4741618	1878551	1878831
9	7271	7344	rs10811013	rs150158026	1880152	1909884
9	7353	7356	rs79512859	rs13439958	1915829	1917561
9	7367	7388	rs10963977	rs200579467	1922673	1931863
9	7392	7451	rs10811144	rs954394	1933321	1949365
9	7456	7479	rs3935923	rs13283366	1953290	1963230
9	7480	7482	rs10757069	rs7021680	1963237	1963333
9	7483	7484	rs6475348	rs10811200	1963536	1963540
9	7488	7501	rs4562384	rs1572746	1965945	1970016
9	7503	7511	rs72685761	rs10964255	1974881	1978733
9	7513	7514	rs1416622	rs1416621	1979674	1979764
9	7515	7520	rs6475363	rs7858062	1980243	1980996
9	7521	7581	rs10120400	rs10119409	1981634	2008021
9	7582	7585	rs10120386	rs12552657	2009408	2010267
9	7586	7591	rs10757112	rs7040790	2011588	2013962
9	7592	7639	rs79420987	rs7037373	2017476	2037786
9	7641	7655	rs10964527	rs10964546	2039973	2046105
9	7657	7694	rs10122060	rs75064523	2048361	2062516
9	7695	7696	rs16937123	rs72687590	2063356	2064395
9	7697	7698	rs7035608	rs7035898	2064507	2064795
9	7702	7739	rs7860088	rs4741643	2066493	2079114
9	7740	7743	rs7035071	rs17712104	2079250	2081608
9	7744	7773	rs10081778	rs3793489	2082671	2095771
9	7775	7776	rs2275419	rs2275417	2097585	2097843
9	7777	7827	rs12005110	rs1572744	2098103	2115271
9	7829	7830	rs7020980	rs2376311	2116414	2116715
9	7832	7841	rs2376310	rs7866458	2121124	2123531
9	7844	7892	rs4373572	rs12344160	2124569	2136142
9	7893	7901	rs12338393	rs28671361	2136183	2137778
9	7905	7906	rs7021817	rs7035986	2140161	2140197
9	7907	7908	rs60388982	rs7868484	2141052	2141357
9	7910	7958	rs10811530	rs4740663	2142191	2154804
9	7959	7968	rs3793503	rs7025777	2155164	2157572
9	7970	7971	rs10811553	rs12378008	2158650	2158662
9	7972	7994	rs3793504	rs16937809	2160105	2168361
9	7997	8001	rs17452565	rs12345838	2169493	2170859
9	8002	8012	rs3793514	rs1886261	2170884	2173590
9	8016	8019	rs10965093	rs16937844	2174253	2175364
9	8020	8021	rs16937852	rs9298820	2177170	2177391
9	8022	8024	rs10448209	rs10491697	2177414	2177492
9	8025	8096	rs12685032	rs7864822	2177709	2195628
9	8099	8101	rs2104340	rs10811632	2196447	2196624
9	8104	8115	rs10965172	rs2104341	2197160	2200576
9	8116	8119	rs2376229	rs183060367	2200678	2201159
9	8123	8125	rs7044291	rs4741654	2202182	2202338
9	8126	8142	rs62536739	rs17454591	2202896	2207184
9	8144	8470	rs146304703	rs55990373	2207774	2277110
9	8471	8472	rs62530600	rs111822784	2277280	2277300
9	8474	8475	rs77971526	rs79008016	2277365	2277426
9	8476	8477	rs141332639	rs34922422	2277462	2277467
9	8478	8479	rs2147261	rs2147262	2277513	2277516
9	8481	8543	rs13286893	rs12380302	2277934	2287691
9	8545	8546	rs1408328	rs1535837	2288588	2288633
9	8547	8586	rs1408329	rs13294267	2288647	2301724
9	8587	8591	rs13298799	rs7032999	2301888	2302693
9	8597	8599	rs1324202	rs1324204	2303782	2303797
9	8600	8690	rs17472622	rs12235737	2303966	2328514
9	8691	8707	rs1571837	rs12005301	2329724	2332024
9	8710	9087	rs10811879	rs1331836	2333389	2409785
9	9088	9100	rs55800839	rs1571840	2409835	2412296
9	9101	9150	rs7041232	rs869105	2412689	2421459
