chr	start.index	end.index	start.rsID	end.rsID	start.bp	end.bp
3	1	348	rs115479960	rs7639630	60197	136825
3	349	356	rs7646598	rs77369709	136836	140137
3	357	437	rs1516317	rs113563839	140226	156237
3	439	653	rs566347186	rs4684921	156297	203080
3	662	663	rs13065808	rs11923617	205016	205809
3	664	667	rs1400186	rs12633952	206063	206775
3	669	883	rs7639555	rs79967385	207062	248586
3	884	918	rs17006099	rs931679	250372	259525
3	919	1211	rs74745597	rs17014759	259715	299391
3	1214	1236	rs73092546	rs9841455	300341	303629
3	1239	1266	rs6803855	rs13089564	304511	310946
3	1270	1303	rs59397957	rs79180872	311271	317259
3	1305	1324	rs9873092	rs17018278	317753	319314
3	1326	1390	rs9310786	rs115901012	319630	337054
3	1394	1408	rs669437	rs332479	337874	340440
3	1410	1465	rs167975	rs76522113	340902	350973
3	1470	1474	rs77457393	rs2648466	351962	353314
3	1475	1478	rs11928134	rs381357	353520	354495
3	1479	1481	rs57100621	rs904466	354611	355574
3	1484	1485	rs71611518	rs1809877	355981	355992
3	1486	1489	rs540503511	rs6777325	356014	356898
3	1490	1551	rs59625306	rs73817620	356953	370100
3	1553	1557	rs73817621	rs56376458	370517	371493
3	1561	1563	rs10510187	rs330893	372029	372448
3	1566	1567	rs9838984	rs9839634	373131	373518
3	1570	1573	rs7630509	rs3773412	374168	374555
3	1574	1593	rs330897	rs7649544	374626	378069
3	1595	1603	rs9310982	rs145167532	378639	379183
3	1604	1607	rs116642756	rs9871714	379477	379533
3	1610	1612	rs390324	rs2060309	379794	379908
3	1616	1632	rs11919384	rs3773401	380228	385636
3	1634	1666	rs3736632	rs13078884	386247	391586
3	1667	1670	rs13079043	rs3773395	391617	392578
3	1672	1676	rs1353810	rs3773390	394270	395479
3	1677	1681	rs3773388	rs34177368	395906	397333
3	1682	1708	rs9820702	rs370804642	397464	402406
3	1709	1711	rs551754714	rs144874751	402467	402764
3	1713	1718	rs13075652	rs9824442	403020	403308
3	1719	1819	rs9846775	rs73013199	403345	425884
3	1820	1821	rs7632614	rs76182137	426036	426063
3	1822	1880	rs9842790	rs6763478	426721	439574
3	1881	1888	rs6442826	rs2387184	439593	440946
3	1892	2009	rs2387188	rs6792593	441553	461659
3	2010	2012	rs13315004	rs9814847	461687	461784
3	2013	2152	rs9863305	rs73106987	461818	491504
3	2153	2168	rs73106988	rs11917192	491798	495149
3	2169	2456	rs9883324	rs77782109	495166	563442
3	2457	2513	rs79297391	rs6807881	563600	576999
3	2515	2519	rs62236818	rs9863053	577320	578589
3	2521	2595	rs78883427	rs9822375	578888	598241
3	2596	2603	rs9837987	rs9851051	598777	599882
3	2605	2606	rs17042662	rs58593350	600158	600348
3	2607	2709	rs148995589	rs2729061	600425	626808
3	2711	2713	rs2729062	rs9311620	626960	627007
3	2714	2937	rs75920171	rs116554787	627076	676710
3	2945	2981	rs59423100	rs58143190	679201	696901
3	2982	2984	rs9311881	rs114874802	697009	697979
3	2986	3006	rs9311883	rs2729146	698777	704649
3	3008	3081	rs1108257	rs4684535	706532	725824
3	3085	3087	rs2729161	rs2627934	728225	728463
3	3088	3281	rs2627935	rs2729189	728497	766421
3	3286	3324	rs35728698	rs55846049	767922	783297
3	3326	3332	rs7644629	rs4143144	785381	790383
3	3333	3334	rs4254643	rs72997076	792207	793879
3	3335	3925	rs1608523	rs35455266	793974	917444
3	3926	3933	rs4686264	rs1403914	917693	918616
3	3937	3938	rs35821899	rs12629614	919768	919829
3	3939	4103	rs76262815	rs79243852	919854	958423
3	4110	4111	rs1357617	rs1357616	961782	963381
3	4112	4186	rs57387202	rs17488620	963674	991242
3	4191	4197	rs11927740	rs4303857	992596	994754
3	4199	4413	rs4583641	rs9844651	994892	1044425
3	4414	4417	rs77237607	rs74360127	1044520	1046181
3	4419	4474	rs9859968	rs4507241	1047097	1060740
3	4475	4477	rs138310330	rs116688647	1060772	1061123
3	4478	4503	rs7637972	rs11128506	1061125	1066688
3	4504	4520	rs17437406	rs17032482	1066971	1070039
3	4521	4543	rs9310357	rs17032572	1071040	1077541
3	4544	4548	rs115267691	rs114702223	1078410	1078942
3	4549	4558	rs7631088	rs11128510	1079024	1080372
3	4560	4563	rs191328424	rs558768825	1080780	1080884
3	4568	4573	rs11921708	rs6795680	1081832	1083708
3	4577	4606	rs4645123	rs4684670	1085185	1091110
3	4610	4641	rs1504059	rs2727996	1092199	1097901
3	4642	4649	rs72993828	rs111857036	1097969	1101946
3	4653	4655	rs2134779	rs2727976	1103372	1103475
3	4656	4672	rs55975362	rs12496586	1103832	1107873
3	4679	4706	rs62229341	rs374113480	1111233	1114450
3	4709	4713	rs1504066	rs9813538	1115037	1115425
3	4715	4721	rs9809923	rs2047885	1115699	1117149
3	4722	4730	rs2727985	rs11128519	1117218	1118868
3	4734	4736	rs2729121	rs2729123	1119864	1119997
3	4737	4778	rs17033334	rs2729129	1120626	1125251
3	4780	4782	rs1394184	rs2729130	1125487	1125605
3	4784	4801	rs1504078	rs2729139	1126049	1128074
3	4809	4811	rs73103455	rs28520756	1129766	1129948
3	4813	4814	rs57086165	rs60258607	1130801	1130950
3	4815	4817	rs78476772	rs77028495	1131100	1131229
3	4818	4828	rs59702800	rs74953696	1131264	1132734
3	4829	4834	rs77203298	rs55716875	1132901	1134343
