chr	start.index	end.index	start.rsID	end.rsID	start.bp	end.bp
17	1	51	rs62053745	rs34783022	828	25640
17	52	53	rs532352200	rs550529771	26184	26187
17	56	69	rs34891882	rs6565729	29113	35724
17	71	134	rs7215271	rs11150885	36718	63098
17	138	181	rs7226358	rs28521142	65351	78803
17	182	187	rs8075539	rs11150890	79829	80657
17	189	202	rs11150892	rs12941826	80772	83285
17	203	207	rs28529202	rs9902430	83597	84206
17	211	212	rs34366665	rs8076034	85038	85047
17	214	221	rs370623659	rs4531790	85164	85781
17	223	232	rs3923019	rs11150893	85824	87542
17	233	388	rs11150894	rs7215219	87661	110025
17	389	392	rs78747300	rs9903116	110522	110908
17	397	399	rs79381731	rs56702013	111519	111695
17	407	452	rs4985594	rs111306415	113390	121340
17	453	475	rs111587332	rs8068163	122163	127564
17	477	478	rs56101945	rs12936802	127973	128148
17	479	553	rs77459804	rs72806037	128311	141286
17	560	580	rs12450463	rs59085405	143832	146926
17	583	602	rs67133830	rs111590057	149102	151242
17	603	604	rs4286161	rs56117701	151656	151877
17	605	607	rs4313866	rs72806051	152286	152735
17	608	609	rs9747475	rs12453473	153168	153229
17	611	612	rs28590471	rs368879754	153389	153539
17	614	655	rs55929526	rs72477017	154224	160960
17	661	697	rs11654816	rs73971738	162054	171098
17	701	743	rs4985615	rs58799484	172350	180983
17	745	748	rs115986918	rs12953074	181077	181474
17	749	751	rs12947988	rs11150875	181479	181931
17	752	758	rs9909914	rs1129995	182119	182990
17	762	774	rs55823471	rs558760274	184655	185874
17	775	776	rs73286626	rs7210020	186183	186256
17	781	789	rs4985613	rs34839721	188051	192335
17	791	795	rs4247114	rs7209825	193188	197004
17	797	799	rs11868422	rs9899018	198072	198274
17	800	908	rs11869174	rs12162130	198698	208004
17	909	928	rs4985609	rs8078613	208222	210420
17	929	938	rs5014804	rs72808206	210518	210860
17	939	943	rs62056168	rs71354743	211004	211397
17	944	979	rs71354744	rs62056173	211412	215847
17	980	1046	rs7225276	rs62056207	216036	229496
17	1047	1059	rs4563095	rs55778031	229842	235453
17	1063	1066	rs56161639	rs11650634	236444	236889
17	1068	1078	rs11150880	rs77463916	237667	238905
17	1082	1085	rs60944746	rs4260117	239700	240040
17	1086	1088	rs8066059	rs75907841	242173	247938
17	1089	1154	rs530256524	rs55691575	248465	273936
17	1156	1157	rs12943462	rs72631440	276016	276024
17	1159	1225	rs77114150	rs3924487	276966	296442
17	1226	1227	rs28971172	rs113369814	396660	396779
17	1228	1293	rs28445967	rs9747696	397008	409916
17	1295	1296	rs532528447	rs544740747	410115	410126
17	1297	2050	rs529860276	rs2750008	410130	677435
17	2051	2076	rs2750009	rs72810267	678380	698814
17	2082	2083	rs620572	rs620562	700685	700687
17	2084	2114	rs592294	rs598974	700998	706862
17	2116	2136	rs882931	rs8072137	707164	709906
17	2138	2141	rs1226867	rs910922	710180	710317
17	2147	2180	rs113098122	rs2474688	711699	714085
17	2181	2296	rs74251939	rs56325271	714407	736101
17	2301	2405	rs72631493	rs62068397	738187	757311
17	2407	2454	rs67770002	rs147114282	759038	780456
17	2455	2460	rs12940843	rs9890891	780632	781340
17	2465	2583	rs12601692	rs77557776	782416	805398
17	2585	2654	rs589781	rs8079581	806071	817116
17	2655	2660	rs8065476	rs12938454	817420	817518
17	2663	2665	rs9910174	rs111904587	818076	818302
17	2667	2668	rs11657023	rs62070213	818466	818476
17	2671	2678	rs80057934	rs12939284	819141	820392
17	2682	2691	rs76401817	rs55909167	821523	822289
17	2692	2696	rs34489762	rs118021774	822302	822620
17	2697	2698	rs6598835	rs8073591	822732	822781
17	2702	2710	rs10902639	rs35962886	823823	827147
17	2715	2718	rs11656088	rs11871138	828785	829766
17	2719	2721	rs2360111	rs4968069	831667	832465
17	2722	2793	rs17620240	rs58269148	833158	843111
17	2796	2799	rs6598839	rs201257945	843877	846022
17	2800	2804	rs549234103	rs147930698	846201	846297
17	2808	2835	rs117761037	rs60036443	846958	853133
17	2837	2858	rs2048241	rs76297238	853632	859977
17	2859	2860	rs76609628	rs12325968	860820	860821
17	2865	2867	rs2457275	rs2586285	861891	861958
17	2869	2895	rs2586284	rs4082764	862249	872559
17	2896	2898	rs80105539	rs7223906	872587	873571
17	2900	2920	rs113611215	rs62068281	874466	882286
17	2923	2985	rs4968140	rs3744753	883502	907907
17	2986	2988	rs3744755	rs1054083	908229	908529
17	2990	3010	rs12604008	rs333652	908763	915368
17	3011	3042	rs2241924	rs76901084	916186	922364
17	3043	3052	rs75994136	rs72812090	922733	924726
17	3054	3084	rs2663351	rs73285562	925006	930094
17	3085	3087	rs16957459	rs7218427	930876	931002
17	3089	3099	rs72812097	rs77762115	931379	932550
17	3100	3126	rs12453361	rs894628	932911	941070
17	3127	3130	rs2247953	rs2248096	942192	943375
17	3131	3172	rs2440051	rs2261081	944306	952343
17	3173	3174	rs2257540	rs2257222	953456	953737
17	3175	3240	rs1982274	rs9894109	955325	976369
17	3242	3244	rs3786065	rs75999254	977765	978691
17	3246	3247	rs11653390	rs563983605	979959	979967
