chr	start.index	end.index	start.rsID	end.rsID	start.bp	end.bp
11	2	10	rs370363256	rs144053170	102905	142218
11	15	471	rs551379772	rs9736609	173470	283415
11	472	474	rs4758634	rs9734276	283438	284039
11	479	482	rs760059	rs4029217	284716	285049
11	484	538	rs34459139	rs2293744	285653	298316
11	544	546	rs61876235	rs112961915	299617	299749
11	547	554	rs7112167	rs67463956	300047	302619
11	555	603	rs11602705	rs7942247	302663	316349
11	608	679	rs3835195	rs10160661	320115	334703
11	680	681	rs10160565	rs75669717	335017	335308
11	682	689	rs73398544	rs61878861	335795	337210
11	691	692	rs9704909	rs10751651	337343	337514
11	693	716	rs11605659	rs11246085	337590	343524
11	717	718	rs11246086	rs11246087	343564	343575
11	719	886	rs12270728	rs7396000	343739	365918
11	888	891	rs7480433	rs10902141	367049	367818
11	894	1039	rs76560824	rs117739035	370252	408174
11	1040	1047	rs7396562	rs7396263	408352	412867
11	1048	1049	rs7948644	rs7931467	413324	413330
11	1051	1062	rs10902161	rs7106722	413752	423617
11	1063	1086	rs7106690	rs7395790	423699	433532
11	1087	1523	rs12576389	rs7109500	433554	560871
11	1525	1737	rs2242183	rs7482904	562219	640369
11	1738	1780	rs11607201	rs7938429	640802	650713
11	1782	1784	rs12366210	rs11246240	650994	651491
11	1786	1940	rs11246242	rs11246269	653185	698626
11	1941	1945	rs4963166	rs7480843	698807	700458
11	1948	1949	rs11605480	rs116925166	701376	701377
11	1950	1952	rs11246270	rs11246272	701497	701511
11	1953	1954	rs10902199	rs7112603	701611	701616
11	1955	1956	rs12362292	rs12363410	701699	701704
11	1959	1971	rs10902200	rs12804878	701723	705630
11	1972	1980	rs11246276	rs10902202	706284	709401
11	1981	1991	rs11605783	rs28816759	709680	711781
11	1992	1993	rs11605373	rs113249763	711970	712611
11	1994	2012	rs12422161	rs3087546	713912	720197
11	2013	2077	rs7635	rs4963164	721570	744659
11	2079	2163	rs7936322	rs116665464	745884	795380
11	2164	2212	rs12277141	rs4963120	798865	825777
11	2218	2283	rs28507876	rs10902226	828784	843097
11	2285	2286	rs12577104	rs12577118	843927	844057
11	2288	2390	rs10902227	rs12791920	845789	910259
11	2391	2392	rs7115012	rs56153769	912169	913151
11	2394	2396	rs7107987	rs10902230	915748	918219
11	2398	2739	rs74958413	rs12574439	918837	1057948
11	2742	2793	rs7119740	rs58569430;rs77372653	1060419	1070605
11	2794	2821	rs2856117	rs41500945	1071067	1078752
11	2822	2934	rs41533950	rs4077012	1078755	1101416
11	2937	3127	rs7110182	rs17859811	1102906	1150353
11	3128	3175	rs17859812	rs28972401	1151406	1162517
11	3177	3239	rs77998608	rs34425120	1213804	1226592
11	3240	3243	rs28665383	rs28532970	1226951	1227939
11	3244	3269	rs28678421	rs868904	1229005	1242810
11	3270	3271	rs885455	rs885454	1243378	1243391
11	3272	3273	rs7115457	rs7118568	1244060	1244080
11	3274	3816	rs56235854	rs61867613	1244197	1414806
11	3817	3821	rs371081307	rs72849455	1415424	1416342
11	3823	3824	rs4046759	rs2334655	1417411	1417415
11	3826	4024	rs11822087	rs36010694	1418877	1470324
11	4025	4026	rs11028332	rs73409602	1471154	1471221
11	4031	4054	rs73411405	rs60078451	1473052	1478552
11	4055	4638	rs7947308	rs10838047	1478565	1652635
11	4640	4647	rs10838054	rs4553328	1652783	1653568
11	4649	4847	rs7944796	rs10838484	1653607	1679025
11	4850	4851	rs10838486	rs12146613	1679163	1679201
11	4852	4885	rs11038542	rs61867626	1679232	1682150
11	4886	4901	rs372097067	rs4752756	1682390	1684270
11	4903	4904	rs7114646	rs61867635	1684525	1684624
11	4905	4907	rs201625645	rs527855971	1685642	1685645
11	4909	4912	rs148206473	rs113411074	1687133	1687314
11	4913	4914	rs111395506	rs372900414	1687326	1687369
11	4916	4936	rs200428326	rs4752777	1687712	1690984
11	4937	4938	rs28377091	rs28590259	1691314	1691504
11	4939	5032	rs12799345	rs4752743	1691563	1717577
11	5033	5079	rs55983813	rs61869040	1718034	1726550
11	5080	5119	rs6578735	rs4752732	1726608	1740079
11	5120	5123	rs4752733	rs10839545	1740189	1744093
11	5125	5244	rs112831500	rs11824983	1745312	1801823
11	5245	5304	rs10839637	rs142314057	1802438	1821985
11	5305	5306	rs10839714	rs10743008	1822481	1823225
11	5307	5313	rs2334408	rs11602772	1823725	1825567
11	5314	5402	rs2334407	rs61867131	1826391	1854356
11	5406	5420	rs562401	rs7933508	1856985	1859942
11	5423	5429	rs1877444	rs7358393	1861225	1864229
11	5430	5432	rs628988	rs504419	1864564	1864645
11	5436	5437	rs7924468	rs4980380	1866372	1866489
11	5442	5448	rs4980398	rs810022	1870211	1870852
11	5451	5509	rs689363	rs509239	1872792	1885117
11	5512	5566	rs113484129	rs72843956	1886775	1899775
11	5567	5583	rs5013907	rs61868798	1899899	1904431
11	5584	5609	rs3817196	rs28971510	1904989	1914975
11	5610	5611	rs72846724	rs528626	1915558	1916653
11	5612	5617	rs2137322	rs7483477	1917354	1920255
11	5618	5622	rs4264135	rs149951929	1920285	1927102
11	5625	5626	rs7112332	rs11826703	1934530	1934532
11	5627	5629	rs11041814	rs7120258	1936211	1938523
11	5631	5633	rs550997922;rs57253033	rs73413011	1940543	1941481
11	5634	5636	rs909115	rs909116	1941858	1941946
11	5637	5666	rs78952134	rs72846733	1941996	1949300
11	5667	5668	rs643753	rs12420273	1949470	1949846
11	5669	5681	rs629990	rs56122367	1950302	1952004
11	5683	5687	rs513735	rs2668858	1956212	1957021
