chr	start.index	end.index	start.rsID	end.rsID	start.bp	end.bp
6	1	2	rs561313667	rs530120680	63979	63980
6	7	8	rs141507289	rs529613262	147596	147651
6	11	20	rs7751743	rs112146737	151275	164417
6	22	23	rs116538424	rs116330457	172043	174097
6	24	42	rs115427692	rs116824112	174433	186889
6	43	44	rs73719554	rs73719555	186928	186929
6	49	165	rs76015505	rs2092589	192157	227296
6	167	197	rs73358071	rs12198660	227476	231180
6	198	200	rs9378655	rs148586553	231223	231234
6	202	210	rs12204143	rs7765514	231351	232290
6	211	395	rs2179754	rs569703120	232535	280328
6	399	641	rs6922183	rs3914430	281417	381918
6	643	666	rs9405192	rs2671427	382537	385735
6	668	702	rs2797304	rs73717071	386636	395889
6	703	705	rs3823305	rs1775588	396121	396649
6	707	708	rs34318727	rs6942173	397261	397269
6	709	727	rs1775589	rs73717075	397290	403544
6	730	1011	rs73717076	rs59422090	404279	464319
6	1012	1024	rs868094	rs59576676	464426	465912
6	1029	1030	rs73374982	rs73374983	466907	466961
6	1031	1039	rs4275100	rs149605923	467414	468378
6	1040	1041	rs13217446	rs13198976	468387	468389
6	1042	1044	rs13205238	rs112117413	468597	469010
6	1045	1098	rs113173484	rs9504035	469692	482926
6	1102	1125	rs75953159	rs4642520	484928	495226
6	1130	1141	rs142031075	rs116498958	496554	501654
6	1142	1143	rs34185105	rs6919639	501931	501939
6	1146	1148	rs9504133	rs28613208	503596	504219
6	1149	1241	rs12206548	rs2982492	506231	545201
6	1245	1282	rs79067129	rs2476842	547752	566741
6	1283	1285	rs73716822	rs2985278	567162	567222
6	1287	1294	rs59169093	rs9378419	567572	568603
6	1295	1328	rs2143332	rs11970217	569588	578091
6	1330	1342	rs72835945	rs1472	580011	582311
6	1343	1524	rs12530439	rs7760802	584161	631271
6	1525	1597	rs9328331	rs9504589	632061	647204
6	1601	1606	rs9504592	rs1612811	648100	650071
6	1608	1609	rs114115034	rs151297268	650538	651179
6	1611	1770	rs112044954	rs9504807	652117	696282
6	1771	1772	rs12525381	rs9405921	696327	696355
6	1775	1777	rs9405922	rs9379034	696702	696997
6	1778	1997	rs141444467	rs9505014	697014	758665
6	1999	2000	rs2252616	rs2252611	760265	760410
6	2002	2015	rs78971091	rs78207638	760840	761075
6	2016	2017	rs1538329	rs111869752	761243	761367
6	2018	2124	rs2804761	rs7750272	763043	786814
6	2127	2128	rs9392145	rs9379090	787251	787255
6	2130	2144	rs9505171	rs2873398	787879	790302
6	2146	2167	rs114597156	rs116046770	791051	793317
6	2170	2171	rs9328421	rs4959434	793764	793765
6	2172	2209	rs4960311	rs11753024	793962	801785
6	2210	2213	rs114526988	rs10901007	801941	802643
6	2214	2258	rs7756344	rs150606100	802769	816307
6	2260	2271	rs9505242	rs79172002	816536	822704
6	2272	2273	rs9505260	rs9505264	822882	823857
6	2274	2281	rs11754491	rs571525302	824105	824418
6	2282	2284	rs6914320	rs12195810	826312	826462
6	2286	2315	rs12663517	rs9379135	826851	832015
6	2316	2317	rs9379136	rs34611135	832201	832371
6	2318	2319	rs9406056	rs9406057	832740	832872
6	2320	2321	rs9379139	rs146972754	833212	833227
6	2322	2324	rs9505283	rs9379140	833237	833271
6	2325	2330	rs9392923	rs9392925	833367	835274
6	2332	2333	rs4959460	rs80188370	836331	836649
6	2334	2335	rs112388186	rs113940449	837440	837744
6	2341	2342	rs75635774	rs7770224	840472	840475
6	2346	2599	rs80283527	rs138240120	841350	890001
6	2604	2644	rs9393002	rs9406131	890387	894859
6	2645	2647	rs77647934	rs75928016	894981	895502
6	2648	2917	rs1743288	rs9505608	895586	961952
6	2918	2948	rs73386082	rs2784955	962479	968555
6	2952	2978	rs9505650	rs77757179	970888	978734
6	2979	3126	rs78480864	rs845890	979229	1017009
6	3127	3136	rs845889	rs73716736	1017288	1019260
6	3137	3294	rs845886	rs9505667	1019325	1055655
6	3295	3296	rs12192910	rs12192911	1055786	1055794
6	3298	3306	rs73716743	rs142391501	1056091	1056708
6	3307	3437	rs112903840	rs2073019	1056920	1078564
6	3438	3444	rs73716750	rs56027017	1079125	1080569
6	3445	3515	rs7747742	rs114364414	1080950	1095909
6	3516	3542	rs171279	rs2050158	1096183	1100777
6	3545	3553	rs9391900	rs6923932	1101893	1104356
6	3554	3569	rs6925377	rs114851696	1104444	1110557
6	3570	3579	rs115599313	rs75363525	1110803	1113763
6	3580	3591	rs6937376	rs9502827	1114168	1116683
6	3592	3594	rs9502828	rs73385567	1116830	1117873
6	3596	3617	rs9391903	rs9405443	1119198	1123560
6	3618	3644	rs375205755	rs74340532	1124254	1127676
6	3646	3650	rs9502832	rs9392256	1127989	1128724
6	3651	3655	rs742523	rs742520	1128875	1130389
6	3656	3657	rs72838923	rs9502833	1132239	1132397
6	3666	3667	rs6915235	rs6915240	1135502	1135512
6	3670	3684	rs240685	rs6914922	1137160	1141504
6	3685	3707	rs57897063	rs11962082	1141984	1147774
6	3709	3710	rs76772274	rs112383372	1148821	1148900
6	3711	3758	rs58000129	rs1978818	1149056	1163976
6	3762	3816	rs7744615	rs387750	1166712	1181871
6	3818	3913	rs56354981	rs463912	1183683	1210531
6	3918	3928	rs7768649	rs457456	1211291	1213535
6	3931	4058	rs386918	rs78866774	1214527	1236623
6	4060	4086	rs6940293	rs17145231	1237391	1243803
6	4088	4116	rs570303186	rs372606	1244639	1252674
6	4117	4141	rs2118263	rs9391916	1252894	1257586
6	4143	4164	rs116349340	rs2438065	1259016	1261805
6	4168	4240	rs79716022	rs74888482	1263284	1278665
6	4241	4245	rs7761423	rs2496302	1280803	1281814
6	4248	4269	rs61425259	rs2459596	1282225	1286450
6	4271	4298	rs9501706	rs75921067	1287016	1299461
6	4301	4309	rs2317620	rs10458047	1299862	1302683
6	4311	4312	rs115449869	rs115450948	1304270	1304418
6	4317	4318	rs77470373	rs13362718	1305013	1305372
6	4320	4435	rs9502883	rs6596810	1305876	1334891
6	4440	4487	rs9689020	rs9405464	1335969	1347770
6	4489	4494	rs9392279	rs59573133	1349828	1352027
6	4495	4523	rs2317904	rs73397747	1352269	1364047
6	4525	4527	rs1711944	rs60696672	1365280	1365777
6	4534	4535	rs73397755	rs73397759	1367726	1367756
6	4536	4564	rs1922927	rs4959556	1369246	1379047
6	4565	4571	rs9328048	rs11752381	1379871	1381901
6	4573	4582	rs1878474	rs73401610	1382084	1385114
6	4589	4591	rs1878475	rs7758424	1386697	1387238
6	4598	4606	rs4382338	rs1737763	1392794	1396568
6	4607	4609	rs6596817	rs4959558	1397495	1397850
6	4610	4611	rs1711977	rs1711976	1399230	1399861
6	4616	4618	rs114183232	rs114455863	1401166	1401644
6	4619	4633	rs7743992	rs9501718	1402243	1407099
6	4634	4649	rs1737767	rs114411088	1408142	1412203
6	4653	4656	rs1711956	rs1628879	1414493	1416121
6	4660	4661	rs7745597	rs7741450	1417621	1417675
6	4663	4664	rs9392288	rs6596819	1418160	1418887
6	4666	4670	rs7746187	rs10214831	1420500	1422595
6	4672	4673	rs1009095	rs4317453	1423769	1424362
6	4675	4678	rs116824797	rs1737781	1425541	1425735
6	4679	4796	rs9501720	rs11242692	1425873	1443413
6	4797	4819	rs9328052	rs113321587	1443760	1448109
6	4820	4841	rs11242693	rs6937692	1448190	1451455
6	4842	4843	rs932409	rs932410	1451522	1451582
6	4845	4916	rs143892831	rs2816272	1452015	1464679
6	4918	4935	rs2745626	rs2816275	1466548	1474164
6	4936	4940	rs2745631	rs4435987	1474870	1477709
6	4946	4947	rs35888597	rs115553926	1478873	1478918
6	4949	4987	rs4959135	rs12663495	1479304	1493695
6	4988	5017	rs9378631	rs10900909	1494934	1504122
6	5018	5087	rs4443540	rs9501733	1505511	1523972
6	5088	5090	rs2569870	rs2569871	1524018	1524126
6	5093	5104	rs2569872	rs7774792	1524570	1528681
6	5105	5242	rs35992711	rs78509630	1528751	1553700
6	5243	5246	rs2745610	rs2745616	1553976	1554704
6	5247	5248	rs9502965	rs6935844	1554827	1555024
6	5249	5250	rs9391924	rs9378299	1555379	1555410
6	5252	5284	rs78330963	rs7757668	1555659	1575666
6	5285	5294	rs761168	rs9328061	1577283	1580213
6	5296	5298	rs2569840	rs2816221	1580420	1580604
6	5302	5308	rs2816223	rs7772118	1581803	1583600
6	5312	5338	rs2816227	rs2569824	1585160	1593646
6	5345	5380	rs9501743	rs2745591	1596387	1601289
6	5381	5399	rs76297979	rs34985684	1602445	1607035
6	5400	5424	rs2235716	rs2569883	1607116	1620627
6	5430	5431	rs7749810	rs9502981	1621769	1622957
6	5434	5450	rs9501746	rs79671302	1623990	1628938
6	5451	5452	rs12196349	rs78632683	1629684	1629689
6	5455	5456	rs9391925	rs9405499	1630554	1630555
6	5459	5461	rs10484698	rs114143810	1631070	1631392
6	5463	5468	rs76086737	rs742556	1631732	1633682
6	5471	5687	rs2569859	rs9405503	1634601	1690341
6	5691	5772	rs4566918	rs13196839	1692464	1709024
6	5774	5775	rs75245299	rs9392324	1709048	1709291
6	5778	5866	rs62388327	rs56171917	1709965	1733825
6	5868	5983	rs9501764	rs2103679	1734765	1767134
6	5984	5999	rs3800047	rs114647033	1767178	1771696
6	6000	6028	rs1040532	rs3823267	1772720	1777854
6	6029	6039	rs58699377	rs35878985	1778667	1781514
6	6043	6044	rs226442	rs112309905	1783263	1783283
6	6045	6061	rs2318108	rs80319078	1783495	1786245
6	6062	6101	rs226445	rs226464	1786340	1810793
6	6107	6114	rs226467	rs9378314	1814349	1816632
6	6115	6116	rs73409363	rs73718504	1817483	1817586
6	6122	6142	rs79905424	rs6936206	1824400	1831936
6	6148	6152	rs4959158;rs573709797	rs3800091	1835401	1837828
6	6153	6370	rs78225837	rs3778553	1839270	1915364
6	6371	6372	rs3778554	rs7764600	1915519	1915828
6	6373	6375	rs9654658	rs56917711	1916216	1916570
6	6378	6584	rs3800131	rs9392347	1918262	1987913
6	6591	6594	rs11242727	rs9378666	1990505	1992231
6	6595	6882	rs9503062	rs76972656	1992440	2100830
6	6883	6890	rs73716945	rs10484947	2101504	2104972
6	6894	6912	rs73716948	rs73416659	2106520	2110985
6	6913	6916	rs9378323	rs79050050	2111091	2112510
6	6917	6929	rs79122591	rs75270753	2112963	2117375
6	6932	6937	rs1889038	rs932444	2118977	2121847
6	6940	7123	rs7765134	rs68131824	2122975	2202669
6	7125	7126	rs234953	rs234954	2203888	2204274
6	7128	7130	rs6908269	rs6912735	2205806	2206012
6	7131	7135	rs148402880	rs9405548	2206440	2208409
6	7140	7141	rs234914	rs9378324	2209680	2209860
6	7142	7143	rs9392373	rs234913	2210006	2210010
6	7144	7219	rs9501817	rs55992523	2210564	2237782
6	7222	7231	rs1629950	rs7741945	2238560	2243119
6	7232	7282	rs3823287	rs73342705	2244721	2273185
6	7284	7285	rs59874307	rs61540845	2274051	2274080
6	7287	7497	rs57241255	rs6596879	2274335	2364847
6	7499	7500	rs12189730	rs4144237	2365191	2365268
6	7501	7540	rs11242759	rs59920917	2365878	2372940
6	7541	7544	rs11752965	rs9501831	2373843	2374712
6	7545	7546	rs1883587	rs1883588	2374821	2374888
6	7547	7549	rs4959176	rs4959177	2374910	2375660
6	7550	7554	rs58639628	rs112488287	2376099	2377093
6	7555	7576	rs73716662	rs9503168	2377460	2382395
6	7577	7585	rs73344747	rs80341800	2383490	2384568
6	7590	7618	rs148493042	rs78972771	2387695	2394693
6	7621	7707	rs76991595	rs28360628	2394798	2414792
6	7709	7711	rs57852943	rs35918040	2415524	2416262
6	7713	7828	rs184374194	rs761098	2416495	2449186
6	7829	7853	rs34077848	rs7752168	2449408	2457541
6	7857	7860	rs72838109	rs17135071	2460430	2461567
6	7862	8059	rs9391950	rs11242779	2462807	2507901
6	8060	8066	rs9503214	rs1417958	2508085	2510495
6	8067	8069	rs1772983	rs13194794	2510978	2510994
6	8071	8073	rs12663942	rs186239326	2511076	2511082
6	8081	8108	rs1680847	rs2449448	2512014	2518736
6	8109	8447	rs77586778	rs747209	2519872	2580739
6	8448	8449	rs115410549	rs78374196	2580898	2581244
6	8450	8452	rs79547181	rs1254726	2581912	2582913
6	8454	8455	rs1254728	rs9501860	2583443	2583550
6	8456	8500	rs9501861	rs142583049	2583834	2594433
6	8501	8506	rs9392406	rs9503225	2594476	2595870
6	8507	8514	rs73716780	rs10498655	2596912	2598145
6	8515	8529	rs11965182	rs11964028	2598593	2601064
6	8533	8548	rs73716783	rs9378337	2603387	2607848
6	8552	8621	rs2763047	rs114237667	2608664	2628620
6	8622	8623	rs6596890	rs7759042	2628938	2629151
6	8624	8631	rs9503236	rs1038335	2630467	2632108
6	8632	8634	rs75065186	rs10900927	2632703	2632929
6	8638	8761	rs9503239	rs7772107	2634620	2669896
6	8762	8792	rs60645910	rs73348593	2670073	2677736
6	8794	8846	rs9501874	rs9391961	2678022	2688643
6	8847	8848	rs6935206	rs6930915	2689064	2689217
6	8850	8853	rs76209182	rs1555677	2689758	2690378
6	8854	8855	rs6924542	rs6925987	2690394	2690496
6	8857	9127	rs7765630	rs9503293	2691117	2743550
6	9131	9316	rs17135663	rs160690	2744928	2799060
6	9317	9318	rs160689	rs160609	2799179	2799190
6	9320	9360	rs75152800	rs17135823	2799691	2811012
6	9362	9418	rs186396	rs79805131	2811850	2827446
6	9420	9421	rs6912537	rs6908275	2828026	2828135
6	9422	9423	rs74964315	rs78329407	2828203	2828222
6	9424	9429	rs11242800	rs10793840	2828570	2831191
6	9439	9440	rs41300837	rs15286	2833232	2833739
6	9441	9451	rs34648853	rs2293771	2834130	2836600
6	9453	9454	rs80262250	rs316337	2837258	2837612
6	9455	9456	rs316338	rs316339	2837846	2838046
6	9457	9458	rs316340	rs316341	2838102	2838248
6	9460	9465	rs73719613	rs316345	2839755	2841040
6	9466	9467	rs316346	rs114712663	2841556	2841557
6	9468	9469	rs56354806	rs57721448	2841914	2841954
6	9471	9472	rs9503311	rs9503312	2842276	2842277
6	9477	9479	rs405616	rs452801	2843335	2843443
6	9480	9481	rs12214615	rs383760	2843521	2843593
6	9482	9499	rs398312	rs11757074	2843612	2846422
6	9500	9519	rs1254413	rs55876241	2846843	2849520
6	9520	9557	rs12524506	rs57583438	2849599	2853806
6	9558	9568	rs412303	rs116712345	2854367	2856961
6	9569	9570	rs67648813	rs389260	2857334	2857442
6	9571	9572	rs376980	rs112245742	2857451	2857866
6	9574	9575	rs56151620	rs55804402	2858215	2858426
6	9576	9582	rs1749114	rs115689677	2858481	2859121
6	9584	9585	rs11755767	rs376755	2859602	2859664
6	9586	9587	rs381854	rs398685	2859686	2859986
6	9588	9589	rs114964214	rs366714	2860068	2860198
6	9591	9592	rs6921916	rs6921917	2860289	2860290
6	9593	9635	rs6901389	rs442567	2860396	2864671
6	9636	9637	rs72842120	rs9328131	2864760	2864775
6	9639	9642	rs383794	rs406572	2865024	2865587
6	9644	9785	rs59095243	rs59977152	2866901	2885387
6	9786	9793	rs12529647	rs72838678	2885595	2886293
6	9794	9813	rs318471	rs13196459	2886355	2889071
6	9815	9819	rs112195400	rs371631056	2889350	2889712
6	9820	9821	rs112561673	rs111288515	2889728	2889736
6	9822	9825	rs375957553	rs373851652	2889743	2889801
6	9826	9827	rs377127644	rs318485	2889802	2889877
6	9831	9847	rs318487	rs73718374	2891016	2901439
6	9848	9867	rs73718375	rs77786480	2902165	2906079
6	9868	9892	rs11242807	rs113965547	2906147	2909668
6	9894	9901	rs79587779	rs6920425	2910165	2910651
6	9903	9988	rs9503336	rs78263470	2912201	2941401
6	9992	10115	rs11242811	rs6930943	2944634	2982690
6	10117	10124	rs2007337	rs73349507	2984766	2988589
6	10125	10126	rs2326106	rs77219486	2989582	2989757
6	10127	10133	rs80135877	rs2002	2990041	2991225
6	10135	10136	rs34056572	rs1321966	2991532	2992361
6	10137	10140	rs2180985	rs73718688	2993099	2993286
6	10144	10460	rs184388647	rs6927166	2993580	3030155
6	10461	10528	rs6927297	rs4959224	3030201	3041074
6	10529	10534	rs4959225	rs6596939	3041076	3042064
6	10535	10641	rs6596940	rs73718956	3042463	3072415
6	10648	10654	rs114428844	rs2326173	3073997	3075553
6	10655	10683	rs3757082	rs7765947	3075698	3087388
6	10684	10688	rs9392454	rs367937527	3087515	3087656
6	10690	10697	rs6931688	rs17513383	3087995	3088196
6	10698	10699	rs17513139	rs17548429	3088557	3088587
6	10703	10776	rs11966771	rs11962338	3089358	3108682
6	10777	10780	rs9503400	rs17548587	3108907	3110343
6	10781	10859	rs17513548	rs77638044	3110858	3133481
6	10860	10861	rs12332797	rs57862343	3133662	3133731
6	10862	10969	rs115501559	rs909963	3133978	3157442
6	10970	10971	rs909964	rs909965	3157798	3157809
6	10972	10973	rs9501929	rs2326176	3157854	3157975
6	10976	10988	rs73357468	rs9378768	3158967	3162492
6	10989	11143	rs9405615	rs9501938	3162619	3190617
6	11144	11194	rs76944452	rs9503450	3190622	3202642
6	11196	11198	rs12191226	rs4129373	3204345	3204821
6	11201	11205	rs11242827	rs9503452	3205434	3205622
6	11206	11343	rs6910548	rs9501955	3205723	3243788
6	11347	11348	rs9503489	rs150043722	3244675	3245319
6	11349	11354	rs9501957	rs7746393	3245852	3247992
6	11355	11358	rs140105554	rs11970389	3249267	3250656
6	11359	11361	rs2807694	rs2807693	3250830	3251052
6	11362	11371	rs4959781	rs113660923	3251311	3252800
6	11372	11629	rs114967473	rs115830324	3252858	3285881
6	11630	11631	rs6914277	rs6918838	3285971	3286134
6	11635	11636	rs61422318	rs7762323	3287916	3287931
6	11640	11718	rs111259431	rs4959801	3289365	3296534
6	11719	11720	rs59207405	rs58317549	3296719	3296811
6	11725	11829	rs7775352	rs4959812	3298667	3320028
6	11830	11832	rs4959813	rs7750145	3320151	3320459
6	11833	11834	rs79084111	rs4546534	3321002	3321204
6	11842	11843	rs11754597	rs72841811	3322602	3322606
6	11844	11955	rs56285929	rs12204759	3322898	3352636
6	11957	11962	rs9378362	rs6931764	3352837	3353990
6	11963	12085	rs115081031	rs4959820	3354071	3384517
6	12086	12103	rs11970141	rs72844624	3385511	3395779
6	12105	12117	rs79659698	rs6928582	3396129	3401003
6	12123	12124	rs28414199	rs9405638	3402660	3402664
6	12127	12149	rs10900942	rs10498662	3404052	3411111
6	12152	12156	rs4959825	rs4959237	3412240	3412392
6	12157	12160	rs6941659	rs6926754	3413134	3413297
6	12161	12162	rs9503584	rs62391780	3413437	3413583
6	12167	12281	rs60572137	rs6924205	3415646	3440026
6	12282	12301	rs9328170	rs73723008	3440161	3445056
6	12302	12303	rs733354	rs9502005	3445536	3445671
6	12307	12388	rs6596970	rs13193250	3446942	3470613
6	12391	12403	rs113670502	rs12211852	3471182	3474807
